job_title,job_detail_url,job_listed,company_name,company_link,company_location
Python Engineer V,https://www.linkedin.com/jobs/view/python-engineer-v-at-ursus-inc-3679607410?refId=sFe64cXvDHQ8UjOHVP1%2Baw%3D%3D&trackingId=nNrWa1AVKychE5Slf8xaVw%3D%3D&position=1&pageNum=6&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Ursus, Inc.",https://www.linkedin.com/company/ursus-incorporated?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-rit-solutions-inc-3684912618?refId=sFe64cXvDHQ8UjOHVP1%2Baw%3D%3D&trackingId=NGHqZaPakbnVaeDSqO7sIQ%3D%3D&position=2&pageNum=6&trk=public_jobs_jserp-result_search-card,1 week ago,"RIT Solutions, Inc.",https://www.linkedin.com/company/rit-solutions-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Jersey City, NJ"
"Python Developer at Princeton, NJ",https://www.linkedin.com/jobs/view/python-developer-at-princeton-nj-at-anveta-inc-3688784694?refId=sFe64cXvDHQ8UjOHVP1%2Baw%3D%3D&trackingId=YcvgaXGlZ%2F%2BO9yJ4ozEGuA%3D%3D&position=3&pageNum=6&trk=public_jobs_jserp-result_search-card,1 week ago,"Anveta, Inc",https://www.linkedin.com/company/anveta?trk=public_jobs_jserp-result_job-search-card-subtitle,"Princeton, NJ"
Python Developer [Job ID 20230801],https://www.linkedin.com/jobs/view/python-developer-job-id-20230801-at-phoenix-cyber-3682301478?refId=sFe64cXvDHQ8UjOHVP1%2Baw%3D%3D&trackingId=Ss6QKAZN%2Bsyco9QXFrrvsw%3D%3D&position=4&pageNum=6&trk=public_jobs_jserp-result_search-card,2 weeks ago,Phoenix Cyber,https://www.linkedin.com/company/phoenixcyber?trk=public_jobs_jserp-result_job-search-card-subtitle,"Phoenix, AZ"
"Software Engineering, New Grad",https://www.linkedin.com/jobs/view/software-engineering-new-grad-at-stripe-3698537230?refId=sFe64cXvDHQ8UjOHVP1%2Baw%3D%3D&trackingId=bTy8OFieHhh9uMbY892zLA%3D%3D&position=5&pageNum=6&trk=public_jobs_jserp-result_search-card,1 day ago,Stripe,https://www.linkedin.com/company/stripe?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Francisco, CA"
Car Researcher,https://www.linkedin.com/jobs/view/car-researcher-at-lakshya-digital-3689932998?refId=sFe64cXvDHQ8UjOHVP1%2Baw%3D%3D&trackingId=%2F1bIuzAchTfLP93kw8u00A%3D%3D&position=6&pageNum=6&trk=public_jobs_jserp-result_search-card,1 week ago,Lakshya Digital,https://in.linkedin.com/company/lakshya-digital?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bothell, WA"
"Software Engineering, New Grad",https://www.linkedin.com/jobs/view/software-engineering-new-grad-at-stripe-3698539079?refId=sFe64cXvDHQ8UjOHVP1%2Baw%3D%3D&trackingId=m9%2FL3ihv8ip08n7oq6DPEw%3D%3D&position=7&pageNum=6&trk=public_jobs_jserp-result_search-card,1 day ago,Stripe,https://www.linkedin.com/company/stripe?trk=public_jobs_jserp-result_job-search-card-subtitle,"Seattle, WA"
"Full Time Job Opportuity - Sr Python Developer / Data Engineer - Wilmington, DE (Onsite)",https://www.linkedin.com/jobs/view/full-time-job-opportuity-sr-python-developer-data-engineer-wilmington-de-onsite-at-donato-technologies-inc-3683233145?refId=sFe64cXvDHQ8UjOHVP1%2Baw%3D%3D&trackingId=gP19DMGU3B4IkQG8rK4Tcg%3D%3D&position=8&pageNum=6&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Donato Technologies, Inc.",https://www.linkedin.com/company/donatotechnologies?trk=public_jobs_jserp-result_job-search-card-subtitle,"Wilmington, DE"
Business Intelligence Analyst,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-fieldwire-by-hilti-3694949587?refId=sFe64cXvDHQ8UjOHVP1%2Baw%3D%3D&trackingId=I%2Bnoq7RUJYqna48NYLZWBw%3D%3D&position=9&pageNum=6&trk=public_jobs_jserp-result_search-card,4 hours ago,Fieldwire by Hilti,https://www.linkedin.com/company/fieldwirelabs?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Francisco, CA"
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-vantage-point-consulting-3684762126?refId=sFe64cXvDHQ8UjOHVP1%2Baw%3D%3D&trackingId=BqD8KPaJHzIkkxfjgEgpCA%3D%3D&position=10&pageNum=6&trk=public_jobs_jserp-result_search-card,2 weeks ago,Vantage Point Consulting,https://www.linkedin.com/company/vantagepointconsulting?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Jose, CA"
